Q U E R Y  1
Customer ID: ALFKI || Customer Name: Maria Anders
Customer ID: BLAUS || Customer Name: Hanna Moos
Customer ID: DRACD || Customer Name: Sven Ottlieb
Customer ID: FRANK || Customer Name: Peter Franken
Customer ID: KOENE || Customer Name: Philip Cramer
Customer ID: LEHMS || Customer Name: Renate Messner
Customer ID: MORGK || Customer Name: Alexander Feuer
Customer ID: OTTIK || Customer Name: Henriette Pfalzheim
Customer ID: QUICK || Customer Name: Horst Kloss
Customer ID: TOMSP || Customer Name: Karin Josephs
Customer ID: WANDK || Customer Name: Rita Müller

Q U E R Y  1
Customer ID: ALFKI || Customer Name: Maria Anders
Customer ID: BLAUS || Customer Name: Hanna Moos
Customer ID: DRACD || Customer Name: Sven Ottlieb
Customer ID: FRANK || Customer Name: Peter Franken
Customer ID: KOENE || Customer Name: Philip Cramer
Customer ID: LEHMS || Customer Name: Renate Messner
Customer ID: MORGK || Customer Name: Alexander Feuer
Customer ID: OTTIK || Customer Name: Henriette Pfalzheim
Customer ID: QUICK || Customer Name: Horst Kloss
Customer ID: TOMSP || Customer Name: Karin Josephs
Customer ID: WANDK || Customer Name: Rita Müller

Q U E R Y  1
Customer ID: ALFKI || Customer Name: Maria Anders
Customer ID: BLAUS || Customer Name: Hanna Moos
Customer ID: DRACD || Customer Name: Sven Ottlieb
Customer ID: FRANK || Customer Name: Peter Franken
Customer ID: KOENE || Customer Name: Philip Cramer
Customer ID: LEHMS || Customer Name: Renate Messner
Customer ID: MORGK || Customer Name: Alexander Feuer
Customer ID: OTTIK || Customer Name: Henriette Pfalzheim
Customer ID: QUICK || Customer Name: Horst Kloss
Customer ID: TOMSP || Customer Name: Karin Josephs
Customer ID: WANDK || Customer Name: Rita Müller

Q U E R Y  1
Customer ID: ALFKI || Customer Name: Maria Anders
Customer ID: BLAUS || Customer Name: Hanna Moos
Customer ID: DRACD || Customer Name: Sven Ottlieb
Customer ID: FRANK || Customer Name: Peter Franken
Customer ID: KOENE || Customer Name: Philip Cramer
Customer ID: LEHMS || Customer Name: Renate Messner
Customer ID: MORGK || Customer Name: Alexander Feuer
Customer ID: OTTIK || Customer Name: Henriette Pfalzheim
Customer ID: QUICK || Customer Name: Horst Kloss
Customer ID: TOMSP || Customer Name: Karin Josephs
Customer ID: WANDK || Customer Name: Rita Müller

Q U E R Y  1
Customer ID: ALFKI || Customer Name: Maria Anders
Customer ID: BLAUS || Customer Name: Hanna Moos
Customer ID: DRACD || Customer Name: Sven Ottlieb
Customer ID: FRANK || Customer Name: Peter Franken
Customer ID: KOENE || Customer Name: Philip Cramer
Customer ID: LEHMS || Customer Name: Renate Messner
Customer ID: MORGK || Customer Name: Alexander Feuer
Customer ID: OTTIK || Customer Name: Henriette Pfalzheim
Customer ID: QUICK || Customer Name: Horst Kloss
Customer ID: TOMSP || Customer Name: Karin Josephs
Customer ID: WANDK || Customer Name: Rita Müller

Q U E R Y  1
Customer ID: ALFKI || Customer Name: Maria Anders
Customer ID: BLAUS || Customer Name: Hanna Moos
Customer ID: DRACD || Customer Name: Sven Ottlieb
Customer ID: FRANK || Customer Name: Peter Franken
Customer ID: KOENE || Customer Name: Philip Cramer
Customer ID: LEHMS || Customer Name: Renate Messner
Customer ID: MORGK || Customer Name: Alexander Feuer
Customer ID: OTTIK || Customer Name: Henriette Pfalzheim
Customer ID: QUICK || Customer Name: Horst Kloss
Customer ID: TOMSP || Customer Name: Karin Josephs
Customer ID: WANDK || Customer Name: Rita Müller

Q U E R Y  1
Customer ID: ALFKI || Customer Name: Maria Anders
Customer ID: BLAUS || Customer Name: Hanna Moos
Customer ID: DRACD || Customer Name: Sven Ottlieb
Customer ID: FRANK || Customer Name: Peter Franken
Customer ID: KOENE || Customer Name: Philip Cramer
Customer ID: LEHMS || Customer Name: Renate Messner
Customer ID: MORGK || Customer Name: Alexander Feuer
Customer ID: OTTIK || Customer Name: Henriette Pfalzheim
Customer ID: QUICK || Customer Name: Horst Kloss
Customer ID: TOMSP || Customer Name: Karin Josephs
Customer ID: WANDK || Customer Name: Rita Müller

Q U E R Y  1
Customer ID: ALFKI || Customer Name: Maria Anders
Customer ID: BLAUS || Customer Name: Hanna Moos
Customer ID: DRACD || Customer Name: Sven Ottlieb
Customer ID: FRANK || Customer Name: Peter Franken
Customer ID: KOENE || Customer Name: Philip Cramer
Customer ID: LEHMS || Customer Name: Renate Messner
Customer ID: MORGK || Customer Name: Alexander Feuer
Customer ID: OTTIK || Customer Name: Henriette Pfalzheim
Customer ID: QUICK || Customer Name: Horst Kloss
Customer ID: TOMSP || Customer Name: Karin Josephs
Customer ID: WANDK || Customer Name: Rita Müller

Q U E R Y  1
Customer ID: ALFKI || Customer Name: Maria Anders
Customer ID: BLAUS || Customer Name: Hanna Moos
Customer ID: DRACD || Customer Name: Sven Ottlieb
Customer ID: FRANK || Customer Name: Peter Franken
Customer ID: KOENE || Customer Name: Philip Cramer
Customer ID: LEHMS || Customer Name: Renate Messner
Customer ID: MORGK || Customer Name: Alexander Feuer
Customer ID: OTTIK || Customer Name: Henriette Pfalzheim
Customer ID: QUICK || Customer Name: Horst Kloss
Customer ID: TOMSP || Customer Name: Karin Josephs
Customer ID: WANDK || Customer Name: Rita Müller

Q U E R Y  1
Customer ID: ALFKI || Customer Name: Maria Anders
Customer ID: BLAUS || Customer Name: Hanna Moos
Customer ID: DRACD || Customer Name: Sven Ottlieb
Customer ID: FRANK || Customer Name: Peter Franken
Customer ID: KOENE || Customer Name: Philip Cramer
Customer ID: LEHMS || Customer Name: Renate Messner
Customer ID: MORGK || Customer Name: Alexander Feuer
Customer ID: OTTIK || Customer Name: Henriette Pfalzheim
Customer ID: QUICK || Customer Name: Horst Kloss
Customer ID: TOMSP || Customer Name: Karin Josephs
Customer ID: WANDK || Customer Name: Rita Müller

Q U E R Y  2
Order ID: 10365 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10507 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10535 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10573 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10677 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10682 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10856 || Customer ID: ANTON || Customer Name: Antonio Moreno

Q U E R Y  2
Order ID: 10365 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10507 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10535 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10573 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10677 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10682 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10856 || Customer ID: ANTON || Customer Name: Antonio Moreno

Q U E R Y  2
Order ID: 10365 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10507 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10535 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10573 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10677 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10682 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10856 || Customer ID: ANTON || Customer Name: Antonio Moreno

Q U E R Y  2
Order ID: 10365 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10507 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10535 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10573 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10677 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10682 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10856 || Customer ID: ANTON || Customer Name: Antonio Moreno

Q U E R Y  2
Order ID: 10365 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10507 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10535 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10573 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10677 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10682 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10856 || Customer ID: ANTON || Customer Name: Antonio Moreno

Q U E R Y  2
Order ID: 10365 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10507 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10535 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10573 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10677 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10682 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10856 || Customer ID: ANTON || Customer Name: Antonio Moreno

Q U E R Y  2
Order ID: 10365 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10507 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10535 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10573 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10677 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10682 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10856 || Customer ID: ANTON || Customer Name: Antonio Moreno

Q U E R Y  2
Order ID: 10365 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10507 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10535 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10573 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10677 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10682 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10856 || Customer ID: ANTON || Customer Name: Antonio Moreno

Q U E R Y  2
Order ID: 10365 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10507 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10535 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10573 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10677 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10682 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10856 || Customer ID: ANTON || Customer Name: Antonio Moreno

Q U E R Y  2
Order ID: 10365 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10507 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10535 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10573 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10677 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10682 || Customer ID: ANTON || Customer Name: Antonio Moreno
Order ID: 10856 || Customer ID: ANTON || Customer Name: Antonio Moreno

